City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,al bawiti,28.3492,28.8659,25.67,36,100,6.0,EG,1685061064
126,poronaysk,49.2167,143.1167,12.51,69,100,2.77,RU,1685061064
127,shuangjiang,26.1547,109.7138,22.89,90,100,2.15,CN,1685061064
128,itaituba,-4.2761,-55.9836,28.09,89,20,0.0,BR,1685061065
129,uturoa,-16.7333,-151.4333,27.57,75,33,4.79,PF,1685060881
130,acapulco de juarez,16.8634,-99.8901,29.9,70,40,4.12,MX,1685060896
131,wailua homesteads,22.0669,-159.378,27.24,73,40,6.17,US,1685061066
132,nuku'alofa,-21.1333,-175.2,23.19,78,100,3.6,TO,1685061066
133,hawaiian paradise park,19.5933,-154.9731,26.73,69,40,5.66,US,1685061066
134,ajaccio,42.0,8.9167,15.03,82,0,3.09,FR,1685060872
135,stanley,54.868,-1.6985,11.51,91,0,1.03,GB,1685061067
136,road town,18.4167,-64.6167,28.02,74,40,3.6,VG,1685060955
137,pangody,65.85,74.4859,9.38,59,100,5.66,RU,1685061072
138,avarua,-21.2078,-159.775,24.03,94,55,2.06,CK,1685061073
139,tiksi,71.6872,128.8694,-0.06,81,100,3.79,RU,1685061073
140,miri,4.4148,114.0089,27.08,78,20,3.6,MY,1685061073
141,kuanda,56.3161,116.0806,5.58,92,100,1.85,RU,1685061073
142,sergeyevka,53.88,67.4158,12.74,86,0,4.19,KZ,1685061074
143,lorengau,-2.0226,147.2712,28.97,69,17,1.03,PG,1685061074
144,saldanha,-33.0117,17.9442,7.03,63,21,2.96,ZA,1685061074
145,copala,16.65,-98.9833,27.94,72,16,2.55,MX,1685061075
146,sooke,48.3746,-123.7276,25.27,50,18,2.57,CA,1685061076
147,chibougamau,49.9168,-74.3659,11.79,40,0,3.09,CA,1685060904
148,keflavik,64.0049,-22.5624,6.24,81,75,4.63,IS,1685061076
149,oyama,36.3,139.8,21.99,43,100,4.01,JP,1685061077
150,livingston,55.9029,-3.5226,10.62,84,0,2.06,GB,1685061077
151,fortaleza,-3.7227,-38.5247,26.07,94,40,3.09,BR,1685061078
152,kindu,-2.95,25.95,21.05,98,63,0.84,CD,1685061078
153,mana,5.6592,-53.7767,25.39,93,100,3.62,GF,1685061078
154,tauranga,-37.6861,176.1667,16.64,82,0,0.45,NZ,1685061000
155,laguna,38.421,-121.4238,26.29,54,0,6.17,US,1685061079
156,walvis bay,-22.9575,14.5053,12.83,80,0,6.99,NA,1685061079
157,vorgashor,67.5833,63.95,14.89,70,45,5.85,RU,1685061080
158,weno,7.4515,151.8468,28.41,75,98,3.76,FM,1685060782
159,suva,-18.1416,178.4415,23.71,83,75,3.09,FJ,1685061080
160,siasi,5.5462,120.8145,28.26,77,76,3.62,PH,1685061081
161,vera cruz,-12.6333,-41.0333,21.18,79,100,2.22,BR,1685061081
162,elliot lake,46.3834,-82.6331,8.08,63,86,1.56,CA,1685061081
163,mlyniv,50.509,25.6168,13.29,90,25,2.08,UA,1685061082
164,yajiwa,11.3839,12.7236,30.86,47,97,2.93,NG,1685061082
165,kas,36.2018,29.6377,18.93,78,0,1.72,TR,1685061083
166,aguililla,18.7333,-102.7333,28.58,51,91,3.08,MX,1685061083
167,papao,-17.75,-149.55,29.82,70,5,1.14,PF,1685061084
168,jalapa,19.5333,-96.9167,18.63,99,100,0.96,MX,1685061084
169,lebu,-37.6167,-73.65,12.55,88,94,8.52,CL,1685061084
170,aioun,16.6614,-9.6149,30.72,35,100,3.9,MR,1685061085
171,solleftea,63.1667,17.2667,5.67,82,100,2.0,SE,1685061085
172,tianpeng,30.9866,103.9393,21.46,70,100,1.18,CN,1685061085
